Time,FrameCounter,Signal0,Reference0,Delta0,Compensation0,State0,Threshold0,Signal1,Reference1,Delta1,Compensation1,State1,Threshold1,Signal2,Reference2,Delta2,Compensation2,State2,Threshold2,Signal3,Reference3,Delta3,Compensation3,State3,Threshold3,Signal4,Reference4,Delta4,Compensation4,State4,Threshold4,SWState0,SWDelta0,SWThreshold0,SWPosition0,CurrentFrequency,HopFrequency0,HopFrequency1,HopFrequency2,QTouchLibError,FRAME_END
20:50.0,128,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,13,13,15,1,0,128
20:50.0,129,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,15,13,15,1,0,129
20:50.0,130,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,1,13,15,1,0,130
20:50.0,131,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,13,13,15,1,0,131
20:50.0,132,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,15,13,15,1,0,132
20:50.1,133,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,1,13,15,1,0,133
20:50.1,134,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,13,13,15,1,0,134
20:50.1,135,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,15,13,15,1,0,135
20:50.1,136,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,1,13,15,1,0,136
20:50.1,137,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,13,13,15,1,0,137
20:50.2,138,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,15,13,15,1,0,138
20:50.2,139,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,1,13,15,1,0,139
20:50.2,140,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,13,13,15,1,0,140
20:50.2,141,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,15,13,15,1,0,141
20:50.2,142,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,1,13,15,1,0,142
