time,delta0,delta1,delta2,delta3,delta4
716,0012,0015,0017,0017,0018,
717,0012,0014,0016,0017,0017,
718,0012,0015,0015,0016,0017,
719,0014,0014,0014,0019,0017,
720,0014,0014,0015,0019,0018,
721,0014,0014,0015,0019,0017,
722,0012,0014,0015,0016,0017,
723,0012,0012,0014,0016,0017,
724,0012,0012,0014,0017,0017,
725,0012,0012,0014,0017,0017,
726,0012,0017,0015,0017,0019,
727,0012,0015,0016,0018,0017,
728,0014,0015,0016,0018,0017,
729,0014,0015,0016,0018,0017,
730,0014,0020,0016,0014,0018,
731,0013,0020,0015,0014,0018,
732,0011,0016,0015,0014,0018,
733,0011,0014,0015,0021,0014,
734,0013,0014,0015,0021,0015,
735,0013,0012,0017,0019,0015,
736,0011,0012,0017,0016,0017,
737,0011,0012,0017,0016,0017,
738,0011,0012,0018,0016,0017,
739,0013,0014,0017,0017,0021,
740,0012,0014,0017,0017,0021,
741,0012,0012,0013,0020,0018,
742,0012,0012,0013,0017,0018,
743,0012,0012,0015,0017,0018,
744,0011,0017,0015,0016,0018,
745,0011,0015,0015,0016,0018,
746,0011,0015,0015,0016,0018,
747,0011,0010,0016,0016,0018,
748,0011,0010,0016,0017,0018,
749,0016,0013,0016,0017,0014,
750,0016,0013,0014,0017,0017,
751,0016,0013,0014,0022,0017,
752,0014,0012,0016,0022,0017,
753,0014,0012,0016,0022,0019,
754,0014,0011,0016,0019,0019,
755,0012,0011,0016,0019,0019,
756,0012,0011,0016,0019,0018,
757,0012,0012,0016,0017,0018,
758,0014,0013,0016,0017,0018,
759,0014,0013,0016,0017,0019,
760,0017,0015,0016,0022,0019,
761,0016,0015,0018,0022,0021,
762,0016,0014,0018,0022,0021,
763,0016,0014,0018,0028,0021,
764,0016,0014,0017,0028,0023,
765,0016,0020,0017,0028,0024,
766,0016,0020,0017,0030,0024,
767,0017,0020,0021,0030,0032,
768,0017,0022,0025,0031,0036,
769,0017,0022,0025,0043,0045,
770,0021,0023,0029,0055,0056,
